"id","title","author","url","status","open_time","close_time","reviewers"
"11962","[New Docs] Remove extra vertical spacing between items in the sidebar","ivanzotov","https://github.com/facebook/react/pull/7973","Merged","14/10/2016 07:32:15",,"[]"
"11963","[New Docs] Fix context doc","ivanzotov","https://github.com/facebook/react/pull/7974","Merged","14/10/2016 08:24:13",,"[]"
"11964","[New Docs] Fix text size adjust for <pre> element in webkit browsers","ivanzotov","https://github.com/facebook/react/pull/7976","Merged","14/10/2016 13:16:33",,"[]"
"11965","[New Docs] Fix image size for tutorial page","ivanzotov","https://github.com/facebook/react/pull/7977","Merged","14/10/2016 17:42:34",,"[]"
"11966","[New Docs] Move Event Systems to the SyntheticEvent reference guide.","hramos","https://github.com/facebook/react/pull/7978","Closed","14/10/2016 18:47:22",,"[]"
"11967","[New Docs] Fix a width for all iframes","ivanzotov","https://github.com/facebook/react/pull/7979","Merged","14/10/2016 20:58:17",,"[]"
"11968","Fix whitespace in headers","sebmarkbage","https://github.com/facebook/react/pull/7980","Merged","14/10/2016 21:46:21",,"[]"
"11969","[New Docs] ""DOM Elements"" reference and cleanup","lacker","https://github.com/facebook/react/pull/7983","Merged","14/10/2016 23:36:51",,"[""gaearon""]"
"11970","[New Docs] Move Event Systems to the SyntheticEvent reference guide.","hramos","https://github.com/facebook/react/pull/7984","Merged","15/10/2016 00:15:17",,"[]"
"11971","Add CDNJS version badge in readme","PeterDaveHello","https://github.com/facebook/react/pull/7987","Closed","17/10/2016 01:16:00",,"[]"
"11972","correct order of params in documentation","philquinn","https://github.com/facebook/react/pull/7989","Merged","17/10/2016 01:44:50",,"[""myawesomeusername""]"
"11973","Add display name in more cases","sophiebits","https://github.com/facebook/react/pull/799","Merged","3/1/2014 22:58:00",,"[]"
"11974","[Fiber] Disable ReactDOMFiber warning for tests in Fiber mode","gaearon","https://github.com/facebook/react/pull/7991","Closed","17/10/2016 13:33:00",,"[]"
"11975","[Fiber] Set DOM attributes","gaearon","https://github.com/facebook/react/pull/7992","Closed","17/10/2016 18:50:45",,"[""iamdustan""]"
"11976","[Fiber] Initial error boundaries","gaearon","https://github.com/facebook/react/pull/7993","Closed","17/10/2016 19:18:40",,"[""sebmarkbage""]"
"11977","Add @preventMunge directives to classes","gaearon","https://github.com/facebook/react/pull/7994","Merged","17/10/2016 20:06:16",,"[]"
"11978","Add CSS unitless property attribute to existing list","hozefaj","https://github.com/facebook/react/pull/7995","Closed","17/10/2016 21:09:52",,"[]"
"11979","[New Docs] Doc on render callbacks","acdlite","https://github.com/facebook/react/pull/7996","Closed","17/10/2016 21:13:43",,"[""lacker"", ""aweary""]"
"11980","Hack to fix lint with yarn","sebmarkbage","https://github.com/facebook/react/pull/7997","Merged","17/10/2016 22:21:17",,"[]"
"11981","Fix error codes","keyz","https://github.com/facebook/react/pull/7999","Merged","18/10/2016 02:28:57",,"[""zpao"", ""sebmarkbage"", ""gaearon""]"
"11982","[website] Add Google Analytics.","yungsters","https://github.com/facebook/react/pull/8","Merged","29/5/2013 21:05:57",,"[]"
"11983","Fix grammatical error","piperchester","https://github.com/facebook/react/pull/8000","Merged","18/10/2016 04:13:49",,"[]"
"11984","[Fiber] Add a unit test for ReactTopLevelText","koba04","https://github.com/facebook/react/pull/8001","Merged","18/10/2016 05:22:32",,"[]"
"11985","[New Docs] Fix links for quick start and image size for implementation notes","ivanzotov","https://github.com/facebook/react/pull/8003","Merged","18/10/2016 11:29:13",,"[]"
"11986","Fix Haste header","gaearon","https://github.com/facebook/react/pull/8005","Merged","18/10/2016 13:05:28",,"[]"
"11987","Update Flow and fix issues","gaearon","https://github.com/facebook/react/pull/8006","Merged","18/10/2016 13:47:31",,"[""iamdustan""]"
"11988","Organize conferences page + add 2","GantMan","https://github.com/facebook/react/pull/8007","Closed","18/10/2016 15:45:02",,"[]"
"11989","[NFC][Fiber] Logging protips","sebmarkbage","https://github.com/facebook/react/pull/8009","Closed","18/10/2016 21:34:56",,"[]"
"11990","Silence console.error in ReactDOMInput-test, fixes #531","cpojer","https://github.com/facebook/react/pull/801","Closed","4/1/2014 02:00:06",,"[]"
"11991","[Fiber] Some setState related issues","sebmarkbage","https://github.com/facebook/react/pull/8010","Merged","18/10/2016 23:12:37",,"[""gaearon"", ""acdlite""]"
"11992","""take part in"" is the correct saying","bradvogel","https://github.com/facebook/react/pull/8013","Merged","19/10/2016 06:59:02",,"[]"
