"id","issue_url","pr_url","link_time","user","is_link"
"136","https://github.com/facebook/react/issues/13688","https://github.com/facebook/react/pull/13697","19/9/2018 23:56:38","sergei-startsev","1"
"137","https://github.com/facebook/react/issues/13694","https://github.com/facebook/react/pull/13731","26/9/2018 11:06:15","trueadm","1"
"138","https://github.com/facebook/react/issues/137","https://github.com/facebook/react/pull/144","1/7/2013 20:32:50","benjamn","1"
"139","https://github.com/facebook/react/issues/1373","https://github.com/facebook/react/pull/2917","23/1/2015 01:12:13","sophiebits","1"
"140","https://github.com/facebook/react/issues/13777","https://github.com/facebook/react/pull/13778","4/10/2018 23:38:03","philipp-spiess","1"
"141","https://github.com/facebook/react/issues/138","https://github.com/facebook/react/pull/144","1/7/2013 20:32:50","benjamn","1"
"142","https://github.com/facebook/react/issues/13820","https://github.com/facebook/react/pull/14104","5/11/2018 17:42:25","gaearon","1"
"143","https://github.com/facebook/react/issues/13864","https://github.com/facebook/react/pull/13866","17/10/2018 01:34:44","imbhargav5","1"
"144","https://github.com/facebook/react/issues/13907","https://github.com/facebook/react/pull/13911","20/10/2018 19:16:38","evmiguel","1"
"145","https://github.com/facebook/react/issues/1392","https://github.com/facebook/react/pull/1393","10/4/2014 05:43:02","sophiebits","1"
"146","https://github.com/facebook/react/issues/1392","https://github.com/facebook/react/pull/1965","30/7/2014 22:17:58","sophiebits","1"
"147","https://github.com/facebook/react/issues/1398","https://github.com/facebook/react/pull/3595","5/4/2015 19:26:05","sophiebits","1"
"148","https://github.com/facebook/react/issues/14102","https://github.com/facebook/react/pull/18287","12/3/2020 04:08:26","bl00mber","1"
"149","https://github.com/facebook/react/issues/14159","https://github.com/facebook/react/pull/14298","22/11/2018 20:16:08","gaearon","1"
"151","https://github.com/facebook/react/issues/14220","https://github.com/facebook/react/pull/14429","13/12/2018 03:47:05","acdlite","1"
"152","https://github.com/facebook/react/issues/14310","https://github.com/facebook/react/pull/14312","22/11/2018 19:02:09","gaearon","1"
"153","https://github.com/facebook/react/issues/14352","https://github.com/facebook/react/pull/14358","29/11/2018 23:57:58","bvaughn","1"
"154","https://github.com/facebook/react/issues/1438","https://github.com/facebook/react/pull/1441","23/4/2014 23:38:26","zpao","1"
"155","https://github.com/facebook/react/issues/1442","https://github.com/facebook/react/pull/3482","23/3/2015 14:34:43","Pouja","1"
"156","https://github.com/facebook/react/issues/1444","https://github.com/facebook/react/pull/1461","29/4/2014 02:22:36","sophiebits","1"
"157","https://github.com/facebook/react/issues/14442","https://github.com/facebook/react/pull/16143","16/7/2019 18:56:43","hassaans","1"
